"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"421300";"Pinheiro Preto";29;2012
"421310";"Piratuba";49;2012
"421315";"Planalto Alegre";28;2012
"421320";"Pomerode";359;2012
"421330";"Ponte Alta";77;2012
"421335";"Ponte Alta do Norte";49;2012
"421340";"Ponte Serrada";184;2012
"421350";"Porto Belo";218;2012
"421360";"Porto União";507;2012
"421370";"Pouso Redondo";245;2012
"421380";"Praia Grande";75;2012
"421390";"Presidente Castello Branco";13;2012
"421400";"Presidente Getúlio";215;2012
"421410";"Presidente Nereu";22;2012
"421415";"Princesa";34;2012
"421420";"Quilombo";127;2012
"421430";"Rancho Queimado";31;2012
"421440";"Rio das Antas";59;2012
"421450";"Rio do Campo";87;2012
"421460";"Rio do Oeste";72;2012
"421480";"Rio do Sul";895;2012
"421470";"Rio dos Cedros";115;2012
"421490";"Rio Fortuna";51;2012
"421500";"Rio Negrinho";554;2012
"421505";"Rio Rufino";22;2012
"421507";"Riqueza";53;2012
"421510";"Rodeio";93;2012
"421520";"Romelândia";58;2012
"421530";"Salete";71;2012
"421535";"Saltinho";39;2012
"421540";"Salto Veloso";64;2012
"421545";"Sangão";176;2012
"421550";"Santa Cecília";304;2012
"421555";"Santa Helena";24;2012
"421560";"Santa Rosa de Lima";15;2012
"421565";"Santa Rosa do Sul";92;2012
"421567";"Santa Terezinha";83;2012
"421568";"Santa Terezinha do Progresso";26;2012
"421569";"Santiago do Sul";24;2012
"421570";"Santo Amaro da Imperatriz";257;2012
"421580";"São Bento do Sul";1180;2012
"421575";"São Bernardino";40;2012
"421590";"São Bonifácio";20;2012
"421600";"São Carlos";122;2012
"421605";"São Cristovão do Sul";74;2012
"421610";"São Domingos";87;2012
"421620";"São Francisco do Sul";631;2012
"421630";"São João Batista";372;2012
"421635";"São João do Itaperiú";46;2012
"421625";"São João do Oeste";71;2012
"421640";"São João do Sul";70;2012
"421650";"São Joaquim";344;2012
"421660";"São José";2988;2012
"421670";"São José do Cedro";160;2012
"421680";"São José do Cerrito";70;2012
"421690";"São Lourenço do Oeste";326;2012
"421700";"São Ludgero";164;2012
"421710";"São Martinho";40;2012
"421715";"São Miguel da Boa Vista";16;2012
"421720";"São Miguel do Oeste";466;2012
"421725";"São Pedro de Alcântara";28;2012
"421730";"Saudades";115;2012
"421740";"Schroeder";278;2012
"421750";"Seara";186;2012
"421755";"Serra Alta";43;2012
"421760";"Siderópolis";146;2012
"421770";"Sombrio";395;2012
"421775";"Sul Brasil";29;2012
"421780";"Taió";229;2012
"421790";"Tangará";83;2012
"421795";"Tigrinhos";24;2012
"421800";"Tijucas";534;2012
"421810";"Timbé do Sul";49;2012
"421820";"Timbó";471;2012
"421825";"Timbó Grande";109;2012
"421830";"Três Barras";283;2012
"421835";"Treviso";50;2012
"421840";"Treze de Maio";68;2012
"421850";"Treze Tílias";95;2012
"421860";"Trombudo Central";89;2012
"421870";"Tubarão";1259;2012
"421875";"Tunápolis";58;2012
"421880";"Turvo";132;2012
"421885";"União do Oeste";20;2012
"421890";"Urubici";127;2012
"421895";"Urupema";26;2012
"421900";"Urussanga";193;2012
"421910";"Vargeão";54;2012
"421915";"Vargem";24;2012
"421917";"Vargem Bonita";56;2012
"421920";"Vidal Ramos";84;2012
"421930";"Videira";682;2012
"421935";"Vitor Meireles";88;2012
"421940";"Witmarsum";39;2012
"421950";"Xanxerê";599;2012
"421960";"Xavantina";37;2012
"421970";"Xaxim";349;2012
"421985";"Zortéa";42;2012
"420000";"Município ignorado - SC";NA;2012
"420005";"Abdon Batista";48;2013
"420010";"Abelardo Luz";258;2013
"420020";"Agrolândia";138;2013
"420030";"Agronômica";41;2013
"420040";"Água Doce";73;2013
"420050";"Águas de Chapecó";71;2013
"420055";"Águas Frias";32;2013
"420060";"Águas Mornas";60;2013
"420070";"Alfredo Wagner";114;2013
"420075";"Alto Bela Vista";8;2013
"420080";"Anchieta";78;2013
"420090";"Angelina";51;2013
"420100";"Anita Garibaldi";114;2013
"420110";"Anitápolis";30;2013
"420120";"Antônio Carlos";97;2013
"420125";"Apiúna";125;2013
"420127";"Arabutã";45;2013
"420130";"Araquari";459;2013
"420140";"Araranguá";829;2013
"420150";"Armazém";95;2013
"420160";"Arroio Trinta";32;2013
"420165";"Arvoredo";24;2013
"420170";"Ascurra";79;2013
"420180";"Atalanta";45;2013
"420190";"Aurora";68;2013
"420195";"Balneário Arroio do Silva";149;2013
"420205";"Balneário Barra do Sul";107;2013
"420200";"Balneário Camboriú";1442;2013
"420207";"Balneário Gaivota";118;2013
"421280";"Balneário Piçarras";292;2013
"422000";"Balneário Rincão";132;2013
"420208";"Bandeirante";32;2013
"420209";"Barra Bonita";18;2013
"420210";"Barra Velha";411;2013
"420213";"Bela Vista do Toldo";68;2013
"420215";"Belmonte";29;2013
"420220";"Benedito Novo";110;2013
"420230";"Biguaçu";889;2013
"420240";"Blumenau";4268;2013
"420243";"Bocaina do Sul";48;2013
"420250";"Bom Jardim da Serra";39;2013
"420253";"Bom Jesus";34;2013
"420257";"Bom Jesus do Oeste";26;2013
"420260";"Bom Retiro";110;2013
"420245";"Bombinhas";265;2013
"420270";"Botuverá";57;2013
"420280";"Braço do Norte";456;2013
"420285";"Braço do Trombudo";59;2013
"420287";"Brunópolis";34;2013
"420290";"Brusque";1625;2013
"420300";"Caçador";1175;2013
"420310";"Caibi";71;2013
"420315";"Calmon";74;2013
"420320";"Camboriú";1191;2013
"420330";"Campo Alegre";106;2013
"420340";"Campo Belo do Sul";109;2013
"420350";"Campo Erê";139;2013
"420360";"Campos Novos";482;2013
"420370";"Canelinha";141;2013
"420380";"Canoinhas";824;2013
"420325";"Capão Alto";26;2013
"420390";"Capinzal";325;2013
"420395";"Capivari de Baixo";319;2013
"420400";"Catanduvas";136;2013
"420410";"Caxambu do Sul";48;2013
"420415";"Celso Ramos";31;2013
"420417";"Cerro Negro";35;2013
"420419";"Chapadão do Lageado";44;2013
"420420";"Chapecó";3183;2013
"420425";"Cocal do Sul";196;2013
"420430";"Concórdia";889;2013
"420435";"Cordilheira Alta";42;2013
"420440";"Coronel Freitas";102;2013
"420445";"Coronel Martins";15;2013
"420455";"Correia Pinto";216;2013
"420450";"Corupá";167;2013
"420460";"Criciúma";2812;2013
"420470";"Cunha Porã";138;2013
"420475";"Cunhataí";17;2013
"420480";"Curitibanos";624;2013
"420490";"Descanso";84;2013
"420500";"Dionísio Cerqueira";241;2013
"420510";"Dona Emma";42;2013
"420515";"Doutor Pedrinho";36;2013
"420517";"Entre Rios";51;2013
"420519";"Ermo";33;2013
"420520";"Erval Velho";43;2013
"420530";"Faxinal dos Guedes";167;2013
"420535";"Flor do Sertão";20;2013
"420540";"Florianópolis";5630;2013
"420543";"Formosa do Sul";25;2013
"420545";"Forquilhinha";348;2013
"420550";"Fraiburgo";530;2013
"420555";"Frei Rogério";37;2013
"420560";"Galvão";45;2013
"420570";"Garopaba";252;2013
"420580";"Garuva";279;2013
"420590";"Gaspar";800;2013
"420600";"Governador Celso Ramos";139;2013
"420610";"Grão Pará";70;2013
"420620";"Gravatal";127;2013
"420630";"Guabiruba";250;2013
"420640";"Guaraciaba";85;2013
"420650";"Guaramirim";638;2013
"420660";"Guarujá do Sul";59;2013
"420665";"Guatambú";77;2013
"420670";"Herval d'Oeste";273;2013
"420675";"Ibiam";26;2013
"420680";"Ibicaré";32;2013
"420690";"Ibirama";252;2013
"420700";"Içara";703;2013
"420710";"Ilhota";166;2013
"420720";"Imaruí";118;2013
"420730";"Imbituba";512;2013
"420740";"Imbuia";69;2013
"420750";"Indaial";797;2013
"420757";"Iomerê";31;2013
"420760";"Ipira";44;2013
"420765";"Iporã do Oeste";84;2013
"420768";"Ipuaçu";129;2013
"420770";"Ipumirim";108;2013
"420775";"Iraceminha";39;2013
"420780";"Irani";124;2013
"420785";"Irati";30;2013
"420790";"Irineópolis";134;2013
"420800";"Itá";58;2013
"420810";"Itaiópolis";283;2013
"420820";"Itajaí";3028;2013
"420830";"Itapema";700;2013
"420840";"Itapiranga";179;2013
"420845";"Itapoá";200;2013
"420850";"Ituporanga";328;2013
"420860";"Jaborá";63;2013
"420870";"Jacinto Machado";121;2013
"420880";"Jaguaruna";226;2013
"420890";"Jaraguá do Sul";2310;2013
"420895";"Jardinópolis";25;2013
"420900";"Joaçaba";336;2013
"420910";"Joinville";7848;2013
"420915";"José Boiteux";84;2013
"420917";"Jupiá";18;2013
"420920";"Lacerdópolis";19;2013
"420930";"Lages";2340;2013
"420940";"Laguna";573;2013
"420945";"Lajeado Grande";12;2013
"420950";"Laurentino";101;2013
"420960";"Lauro Muller";194;2013
"420970";"Lebon Régis";160;2013
"420980";"Leoberto Leal";30;2013
"420985";"Lindóia do Sul";42;2013
"420990";"Lontras";169;2013
"421000";"Luiz Alves";168;2013
"421003";"Luzerna";43;2013
"421005";"Macieira";33;2013
"421010";"Mafra";827;2013
"421020";"Major Gercino";27;2013
"421030";"Major Vieira";91;2013
"421040";"Maracajá";79;2013
"421050";"Maravilha";310;2013
"421055";"Marema";12;2013
"421060";"Massaranduba";168;2013
"421070";"Matos Costa";30;2013
"421080";"Meleiro";76;2013
"421085";"Mirim Doce";30;2013
"421090";"Modelo";44;2013
"421100";"Mondaí";106;2013
"421105";"Monte Carlo";154;2013
"421110";"Monte Castelo";106;2013
"421120";"Morro da Fumaça";258;2013
"421125";"Morro Grande";56;2013
"421130";"Navegantes";1229;2013
"421140";"Nova Erechim";52;2013
"421145";"Nova Itaberaba";55;2013
"421150";"Nova Trento";152;2013
"421160";"Nova Veneza";177;2013
"421165";"Novo Horizonte";21;2013
"421170";"Orleans";260;2013
"421175";"Otacílio Costa";252;2013
"421180";"Ouro";78;2013
"421185";"Ouro Verde";27;2013
"421187";"Paial";14;2013
"421189";"Painel";18;2013
"421190";"Palhoça";2396;2013
"421200";"Palma Sola";112;2013
"421205";"Palmeira";33;2013
"421210";"Palmitos";188;2013
"421220";"Papanduva";225;2013
"421223";"Paraíso";48;2013
"421225";"Passo de Torres";88;2013
"421227";"Passos Maia";55;2013
"421230";"Paulo Lopes";98;2013
"421240";"Pedras Grandes";32;2013
"421250";"Penha";372;2013
"421260";"Peritiba";32;2013
"421265";"Pescaria Brava";9;2013
"421270";"Petrolândia";69;2013
"421290";"Pinhalzinho";266;2013
"421300";"Pinheiro Preto";47;2013
"421310";"Piratuba";69;2013
"421315";"Planalto Alegre";32;2013
"421320";"Pomerode";334;2013
"421330";"Ponte Alta";74;2013
"421335";"Ponte Alta do Norte";56;2013
"421340";"Ponte Serrada";147;2013
"421350";"Porto Belo";244;2013
"421360";"Porto União";431;2013
"421370";"Pouso Redondo";221;2013
"421380";"Praia Grande";87;2013
"421390";"Presidente Castello Branco";16;2013
"421400";"Presidente Getúlio";219;2013
"421410";"Presidente Nereu";27;2013
"421415";"Princesa";31;2013
"421420";"Quilombo";149;2013
"421430";"Rancho Queimado";24;2013
"421440";"Rio das Antas";61;2013
"421450";"Rio do Campo";63;2013
"421460";"Rio do Oeste";82;2013
"421480";"Rio do Sul";935;2013
"421470";"Rio dos Cedros";109;2013
"421490";"Rio Fortuna";52;2013
"421500";"Rio Negrinho";539;2013
"421505";"Rio Rufino";22;2013
"421507";"Riqueza";39;2013
"421510";"Rodeio";114;2013
"421520";"Romelândia";49;2013
"421530";"Salete";94;2013
"421535";"Saltinho";46;2013
"421540";"Salto Veloso";58;2013
"421545";"Sangão";204;2013
"421550";"Santa Cecília";317;2013
"421555";"Santa Helena";26;2013
"421560";"Santa Rosa de Lima";21;2013
"421565";"Santa Rosa do Sul";98;2013
"421567";"Santa Terezinha";95;2013
"421568";"Santa Terezinha do Progresso";36;2013
"421569";"Santiago do Sul";11;2013
"421570";"Santo Amaro da Imperatriz";300;2013
"421580";"São Bento do Sul";1172;2013
"421575";"São Bernardino";34;2013
"421590";"São Bonifácio";19;2013
"421600";"São Carlos";123;2013
"421605";"São Cristovão do Sul";60;2013
"421610";"São Domingos";129;2013
"421620";"São Francisco do Sul";627;2013
"421630";"São João Batista";447;2013
"421635";"São João do Itaperiú";31;2013
"421625";"São João do Oeste";55;2013
"421640";"São João do Sul";69;2013
"421650";"São Joaquim";304;2013
"421660";"São José";3049;2013
"421670";"São José do Cedro";163;2013
"421680";"São José do Cerrito";82;2013
"421690";"São Lourenço do Oeste";326;2013
"421700";"São Ludgero";182;2013
"421710";"São Martinho";25;2013
"421715";"São Miguel da Boa Vista";19;2013
"421720";"São Miguel do Oeste";470;2013
"421725";"São Pedro de Alcântara";23;2013
"421730";"Saudades";101;2013
"421740";"Schroeder";222;2013
"421750";"Seara";196;2013
"421755";"Serra Alta";40;2013
"421760";"Siderópolis";119;2013
"421770";"Sombrio";378;2013
"421775";"Sul Brasil";25;2013
"421780";"Taió";237;2013
"421790";"Tangará";98;2013
"421795";"Tigrinhos";27;2013
"421800";"Tijucas";539;2013
"421810";"Timbé do Sul";60;2013
"421820";"Timbó";434;2013
"421825";"Timbó Grande";115;2013
"421830";"Três Barras";258;2013
"421835";"Treviso";46;2013
"421840";"Treze de Maio";88;2013
"421850";"Treze Tílias";101;2013
"421860";"Trombudo Central";95;2013
"421870";"Tubarão";1260;2013
"421875";"Tunápolis";49;2013
"421880";"Turvo";152;2013
"421885";"União do Oeste";37;2013
"421890";"Urubici";126;2013
"421895";"Urupema";35;2013
"421900";"Urussanga";185;2013
"421910";"Vargeão";49;2013
"421915";"Vargem";30;2013
"421917";"Vargem Bonita";53;2013
"421920";"Vidal Ramos";73;2013
"421930";"Videira";763;2013
"421935";"Vitor Meireles";72;2013
"421940";"Witmarsum";37;2013
"421950";"Xanxerê";650;2013
"421960";"Xavantina";24;2013
"421970";"Xaxim";357;2013
"421985";"Zortéa";44;2013
"420000";"Município ignorado - SC";1;2013
"420005";"Abdon Batista";33;2014
"420010";"Abelardo Luz";299;2014
"420020";"Agrolândia";125;2014
"420030";"Agronômica";54;2014
"420040";"Água Doce";89;2014
"420050";"Águas de Chapecó";64;2014
"420055";"Águas Frias";28;2014
"420060";"Águas Mornas";60;2014
"420070";"Alfredo Wagner";128;2014
"420075";"Alto Bela Vista";16;2014
"420080";"Anchieta";80;2014
"420090";"Angelina";57;2014
"420100";"Anita Garibaldi";109;2014
"420110";"Anitápolis";29;2014
"420120";"Antônio Carlos";116;2014
"420125";"Apiúna";156;2014
"420127";"Arabutã";42;2014
"420130";"Araquari";494;2014
"420140";"Araranguá";893;2014
"420150";"Armazém";107;2014
"420160";"Arroio Trinta";34;2014
"420165";"Arvoredo";28;2014
"420170";"Ascurra";99;2014
"420180";"Atalanta";48;2014
"420190";"Aurora";70;2014
"420195";"Balneário Arroio do Silva";138;2014
"420205";"Balneário Barra do Sul";139;2014
"420200";"Balneário Camboriú";1536;2014
"420207";"Balneário Gaivota";130;2014
"421280";"Balneário Piçarras";281;2014
"422000";"Balneário Rincão";200;2014
"420208";"Bandeirante";35;2014
"420209";"Barra Bonita";21;2014
"420210";"Barra Velha";417;2014
"420213";"Bela Vista do Toldo";78;2014
"420215";"Belmonte";32;2014
"420220";"Benedito Novo";99;2014
"420230";"Biguaçu";965;2014
"420240";"Blumenau";4480;2014
"420243";"Bocaina do Sul";53;2014
"420250";"Bom Jardim da Serra";51;2014
"420253";"Bom Jesus";49;2014
"420257";"Bom Jesus do Oeste";22;2014
"420260";"Bom Retiro";108;2014
"420245";"Bombinhas";253;2014
"420270";"Botuverá";45;2014
"420280";"Braço do Norte";453;2014
"420285";"Braço do Trombudo";50;2014
"420287";"Brunópolis";30;2014
"420290";"Brusque";1657;2014
"420300";"Caçador";1221;2014
"420310";"Caibi";61;2014
"420315";"Calmon";63;2014
"420320";"Camboriú";1186;2014
"420330";"Campo Alegre";117;2014
"420340";"Campo Belo do Sul";89;2014
"420350";"Campo Erê";146;2014
"420360";"Campos Novos";543;2014
"420370";"Canelinha";140;2014
"420380";"Canoinhas";802;2014
"420325";"Capão Alto";30;2014
"420390";"Capinzal";280;2014
"420395";"Capivari de Baixo";310;2014
"420400";"Catanduvas";124;2014
"420410";"Caxambu do Sul";58;2014
"420415";"Celso Ramos";23;2014
"420417";"Cerro Negro";48;2014
"420419";"Chapadão do Lageado";28;2014
"420420";"Chapecó";3273;2014
"420425";"Cocal do Sul";216;2014
"420430";"Concórdia";1009;2014
"420435";"Cordilheira Alta";50;2014
"420440";"Coronel Freitas";112;2014
"420445";"Coronel Martins";26;2014
"420455";"Correia Pinto";223;2014
"420450";"Corupá";175;2014
"420460";"Criciúma";2868;2014
"420470";"Cunha Porã";144;2014
"420475";"Cunhataí";21;2014
"420480";"Curitibanos";660;2014
"420490";"Descanso";94;2014
"420500";"Dionísio Cerqueira";259;2014
"420510";"Dona Emma";39;2014
"420515";"Doutor Pedrinho";42;2014
"420517";"Entre Rios";63;2014
"420519";"Ermo";32;2014
"420520";"Erval Velho";65;2014
"420530";"Faxinal dos Guedes";140;2014
"420535";"Flor do Sertão";22;2014
"420540";"Florianópolis";5813;2014
"420543";"Formosa do Sul";27;2014
"420545";"Forquilhinha";411;2014
"420550";"Fraiburgo";562;2014
"420555";"Frei Rogério";26;2014
"420560";"Galvão";44;2014
"420570";"Garopaba";255;2014
"420580";"Garuva";314;2014
"420590";"Gaspar";823;2014
"420600";"Governador Celso Ramos";163;2014
"420610";"Grão Pará";85;2014
"420620";"Gravatal";122;2014
"420630";"Guabiruba";267;2014
"420640";"Guaraciaba";108;2014
"420650";"Guaramirim";539;2014
"420660";"Guarujá do Sul";45;2014
"420665";"Guatambú";91;2014
"420670";"Herval d'Oeste";303;2014
"420675";"Ibiam";20;2014
"420680";"Ibicaré";26;2014
"420690";"Ibirama";266;2014
"420700";"Içara";708;2014
"420710";"Ilhota";181;2014
"420720";"Imaruí";109;2014
"420730";"Imbituba";504;2014
"420740";"Imbuia";75;2014
"420750";"Indaial";823;2014
"420757";"Iomerê";17;2014
"420760";"Ipira";50;2014
"420765";"Iporã do Oeste";119;2014
"420768";"Ipuaçu";118;2014
"420770";"Ipumirim";94;2014
"420775";"Iraceminha";31;2014
"420780";"Irani";128;2014
"420785";"Irati";22;2014
"420790";"Irineópolis";138;2014
"420800";"Itá";58;2014
"420810";"Itaiópolis";291;2014
"420820";"Itajaí";3319;2014
"420830";"Itapema";751;2014
"420840";"Itapiranga";179;2014
"420845";"Itapoá";244;2014
"420850";"Ituporanga";372;2014
"420860";"Jaborá";44;2014
"420870";"Jacinto Machado";123;2014
"420880";"Jaguaruna";210;2014
"420890";"Jaraguá do Sul";2408;2014
"420895";"Jardinópolis";26;2014
"420900";"Joaçaba";352;2014
"420910";"Joinville";8063;2014
"420915";"José Boiteux";98;2014
"420917";"Jupiá";20;2014
"420920";"Lacerdópolis";29;2014
"420930";"Lages";2406;2014
"420940";"Laguna";511;2014
"420945";"Lajeado Grande";21;2014
"420950";"Laurentino";98;2014
"420960";"Lauro Muller";214;2014
"420970";"Lebon Régis";162;2014
"420980";"Leoberto Leal";33;2014
"420985";"Lindóia do Sul";55;2014
"420990";"Lontras";166;2014
"421000";"Luiz Alves";186;2014
"421003";"Luzerna";60;2014
"421005";"Macieira";22;2014
"421010";"Mafra";798;2014
"421020";"Major Gercino";36;2014
"421030";"Major Vieira";76;2014
"421040";"Maracajá";116;2014
"421050";"Maravilha";377;2014
"421055";"Marema";17;2014
"421060";"Massaranduba";182;2014
"421070";"Matos Costa";33;2014
"421080";"Meleiro";86;2014
"421085";"Mirim Doce";36;2014
"421090";"Modelo";52;2014
"421100";"Mondaí";112;2014
"421105";"Monte Carlo";126;2014
"421110";"Monte Castelo";128;2014
"421120";"Morro da Fumaça";245;2014
"421125";"Morro Grande";32;2014
"421130";"Navegantes";1384;2014
"421140";"Nova Erechim";50;2014
"421145";"Nova Itaberaba";47;2014
"421150";"Nova Trento";143;2014
"421160";"Nova Veneza";186;2014
"421165";"Novo Horizonte";24;2014
"421170";"Orleans";252;2014
"421175";"Otacílio Costa";239;2014
"421180";"Ouro";79;2014
"421185";"Ouro Verde";26;2014
"421187";"Paial";19;2014
"421189";"Painel";29;2014
"421190";"Palhoça";2469;2014
"421200";"Palma Sola";127;2014
"421205";"Palmeira";32;2014
"421210";"Palmitos";177;2014
"421220";"Papanduva";241;2014
"421223";"Paraíso";39;2014
"421225";"Passo de Torres";96;2014
"421227";"Passos Maia";70;2014
"421230";"Paulo Lopes";78;2014
"421240";"Pedras Grandes";46;2014
"421250";"Penha";376;2014
"421260";"Peritiba";42;2014
"421265";"Pescaria Brava";100;2014
"421270";"Petrolândia";59;2014
"421290";"Pinhalzinho";266;2014
"421300";"Pinheiro Preto";39;2014
"421310";"Piratuba";71;2014
"421315";"Planalto Alegre";33;2014
"421320";"Pomerode";378;2014
"421330";"Ponte Alta";65;2014
"421335";"Ponte Alta do Norte";43;2014
"421340";"Ponte Serrada";172;2014
"421350";"Porto Belo";235;2014
"421360";"Porto União";435;2014
"421370";"Pouso Redondo";235;2014
"421380";"Praia Grande";73;2014
"421390";"Presidente Castello Branco";17;2014
"421400";"Presidente Getúlio";203;2014
"421410";"Presidente Nereu";30;2014
"421415";"Princesa";28;2014
"421420";"Quilombo";126;2014
"421430";"Rancho Queimado";25;2014
"421440";"Rio das Antas";85;2014
"421450";"Rio do Campo";82;2014
"421460";"Rio do Oeste";85;2014
"421480";"Rio do Sul";868;2014
"421470";"Rio dos Cedros";127;2014
"421490";"Rio Fortuna";42;2014
"421500";"Rio Negrinho";585;2014
"421505";"Rio Rufino";33;2014
"421507";"Riqueza";54;2014
"421510";"Rodeio";110;2014
"421520";"Romelândia";46;2014
"421530";"Salete";86;2014
"421535";"Saltinho";54;2014
"421540";"Salto Veloso";53;2014
"421545";"Sangão";211;2014
"421550";"Santa Cecília";251;2014
"421555";"Santa Helena";18;2014
"421560";"Santa Rosa de Lima";19;2014
"421565";"Santa Rosa do Sul";94;2014
"421567";"Santa Terezinha";90;2014
"421568";"Santa Terezinha do Progresso";34;2014
"421569";"Santiago do Sul";26;2014
"421570";"Santo Amaro da Imperatriz";290;2014
"421580";"São Bento do Sul";1185;2014
"421575";"São Bernardino";37;2014
"421590";"São Bonifácio";24;2014
"421600";"São Carlos";128;2014
"421605";"São Cristovão do Sul";79;2014
"421610";"São Domingos";117;2014
"421620";"São Francisco do Sul";641;2014
"421630";"São João Batista";430;2014
"421635";"São João do Itaperiú";42;2014
"421625";"São João do Oeste";55;2014
"421640";"São João do Sul";87;2014
"421650";"São Joaquim";369;2014
"421660";"São José";3166;2014
"421670";"São José do Cedro";173;2014
"421680";"São José do Cerrito";85;2014
"421690";"São Lourenço do Oeste";309;2014
"421700";"São Ludgero";157;2014
"421710";"São Martinho";37;2014
"421715";"São Miguel da Boa Vista";20;2014
"421720";"São Miguel do Oeste";530;2014
"421725";"São Pedro de Alcântara";36;2014
"421730";"Saudades";108;2014
"421740";"Schroeder";269;2014
"421750";"Seara";216;2014
"421755";"Serra Alta";29;2014
"421760";"Siderópolis";159;2014
"421770";"Sombrio";439;2014
"421775";"Sul Brasil";31;2014
"421780";"Taió";196;2014
"421790";"Tangará";95;2014
"421795";"Tigrinhos";17;2014
"421800";"Tijucas";564;2014
"421810";"Timbé do Sul";57;2014
"421820";"Timbó";505;2014
"421825";"Timbó Grande";101;2014
"421830";"Três Barras";321;2014
"421835";"Treviso";39;2014
"421840";"Treze de Maio";78;2014
"421850";"Treze Tílias";103;2014
"421860";"Trombudo Central";95;2014
"421870";"Tubarão";1324;2014
"421875";"Tunápolis";54;2014
"421880";"Turvo";151;2014
"421885";"União do Oeste";22;2014
"421890";"Urubici";140;2014
"421895";"Urupema";25;2014
"421900";"Urussanga";229;2014
"421910";"Vargeão";46;2014
"421915";"Vargem";34;2014
"421917";"Vargem Bonita";66;2014
"421920";"Vidal Ramos";68;2014
"421930";"Videira";733;2014
"421935";"Vitor Meireles";68;2014
"421940";"Witmarsum";61;2014
"421950";"Xanxerê";622;2014
"421960";"Xavantina";28;2014
"421970";"Xaxim";369;2014
"421985";"Zortéa";34;2014
"420000";"Município ignorado - SC";NA;2014
"420005";"Abdon Batista";27;2015
"420010";"Abelardo Luz";290;2015
"420020";"Agrolândia";166;2015
"420030";"Agronômica";53;2015
"420040";"Água Doce";103;2015
"420050";"Águas de Chapecó";77;2015
"420055";"Águas Frias";38;2015
"420060";"Águas Mornas";65;2015
"420070";"Alfredo Wagner";122;2015
"420075";"Alto Bela Vista";13;2015
"420080";"Anchieta";63;2015
"420090";"Angelina";47;2015
"420100";"Anita Garibaldi";97;2015
"420110";"Anitápolis";30;2015
"420120";"Antônio Carlos";123;2015
"420125";"Apiúna";127;2015
"420127";"Arabutã";44;2015
"420130";"Araquari";549;2015
"420140";"Araranguá";942;2015
"420150";"Armazém";124;2015
"420160";"Arroio Trinta";26;2015
"420165";"Arvoredo";25;2015
"420170";"Ascurra";99;2015
"420180";"Atalanta";48;2015
"420190";"Aurora";72;2015
"420195";"Balneário Arroio do Silva";166;2015
"420205";"Balneário Barra do Sul";134;2015
"420200";"Balneário Camboriú";1607;2015
"420207";"Balneário Gaivota";130;2015
"421280";"Balneário Piçarras";328;2015
"422000";"Balneário Rincão";180;2015
"420208";"Bandeirante";40;2015
"420209";"Barra Bonita";14;2015
"420210";"Barra Velha";475;2015
"420213";"Bela Vista do Toldo";53;2015
"420215";"Belmonte";26;2015
"420220";"Benedito Novo";119;2015
"420230";"Biguaçu";992;2015
"420240";"Blumenau";4511;2015
"420243";"Bocaina do Sul";59;2015
"420250";"Bom Jardim da Serra";45;2015
"420253";"Bom Jesus";36;2015
"420257";"Bom Jesus do Oeste";23;2015
"420260";"Bom Retiro";151;2015
"420245";"Bombinhas";277;2015
"420270";"Botuverá";65;2015
"420280";"Braço do Norte";495;2015
"420285";"Braço do Trombudo";47;2015
"420287";"Brunópolis";23;2015
"420290";"Brusque";1730;2015
"420300";"Caçador";1202;2015
"420310";"Caibi";71;2015
"420315";"Calmon";69;2015
"420320";"Camboriú";1322;2015
"420330";"Campo Alegre";141;2015
"420340";"Campo Belo do Sul";70;2015
"420350";"Campo Erê";163;2015
"420360";"Campos Novos";502;2015
"420370";"Canelinha";117;2015
"420380";"Canoinhas";882;2015
"420325";"Capão Alto";22;2015
"420390";"Capinzal";306;2015
"420395";"Capivari de Baixo";354;2015
"420400";"Catanduvas";134;2015
"420410";"Caxambu do Sul";70;2015
"420415";"Celso Ramos";35;2015
"420417";"Cerro Negro";49;2015
"420419";"Chapadão do Lageado";41;2015
"420420";"Chapecó";3449;2015
"420425";"Cocal do Sul";212;2015
"420430";"Concórdia";1055;2015
"420435";"Cordilheira Alta";41;2015
"420440";"Coronel Freitas";97;2015
"420445";"Coronel Martins";15;2015
"420455";"Correia Pinto";196;2015
"420450";"Corupá";215;2015
"420460";"Criciúma";2925;2015
"420470";"Cunha Porã";138;2015
"420475";"Cunhataí";24;2015
"420480";"Curitibanos";632;2015
"420490";"Descanso";94;2015
"420500";"Dionísio Cerqueira";251;2015
"420510";"Dona Emma";58;2015
"420515";"Doutor Pedrinho";28;2015
"420517";"Entre Rios";55;2015
"420519";"Ermo";27;2015
"420520";"Erval Velho";57;2015
"420530";"Faxinal dos Guedes";130;2015
"420535";"Flor do Sertão";16;2015
"420540";"Florianópolis";6135;2015
"420543";"Formosa do Sul";19;2015
"420545";"Forquilhinha";386;2015
"420550";"Fraiburgo";587;2015
"420555";"Frei Rogério";32;2015
"420560";"Galvão";36;2015
"420570";"Garopaba";258;2015
"420580";"Garuva";267;2015
"420590";"Gaspar";901;2015
"420600";"Governador Celso Ramos";159;2015
"420610";"Grão Pará";80;2015
"420620";"Gravatal";125;2015
"420630";"Guabiruba";250;2015
"420640";"Guaraciaba";112;2015
"420650";"Guaramirim";630;2015
