"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"421050";"Maravilha";275;2010
"421055";"Marema";17;2010
"421060";"Massaranduba";184;2010
"421070";"Matos Costa";43;2010
"421080";"Meleiro";77;2010
"421085";"Mirim Doce";24;2010
"421090";"Modelo";41;2010
"421100";"Mondaí";104;2010
"421105";"Monte Carlo";129;2010
"421110";"Monte Castelo";119;2010
"421120";"Morro da Fumaça";239;2010
"421125";"Morro Grande";33;2010
"421130";"Navegantes";940;2010
"421140";"Nova Erechim";42;2010
"421145";"Nova Itaberaba";48;2010
"421150";"Nova Trento";130;2010
"421160";"Nova Veneza";148;2010
"421165";"Novo Horizonte";32;2010
"421170";"Orleans";254;2010
"421175";"Otacílio Costa";229;2010
"421180";"Ouro";88;2010
"421185";"Ouro Verde";24;2010
"421187";"Paial";23;2010
"421189";"Painel";19;2010
"421190";"Palhoça";2011;2010
"421200";"Palma Sola";113;2010
"421205";"Palmeira";25;2010
"421210";"Palmitos";198;2010
"421220";"Papanduva";248;2010
"421223";"Paraíso";50;2010
"421225";"Passo de Torres";81;2010
"421227";"Passos Maia";76;2010
"421230";"Paulo Lopes";93;2010
"421240";"Pedras Grandes";36;2010
"421250";"Penha";359;2010
"421260";"Peritiba";23;2010
"421265";"Pescaria Brava";NA;2010
"421270";"Petrolândia";78;2010
"421290";"Pinhalzinho";210;2010
"421300";"Pinheiro Preto";30;2010
"421310";"Piratuba";65;2010
"421315";"Planalto Alegre";24;2010
"421320";"Pomerode";349;2010
"421330";"Ponte Alta";72;2010
"421335";"Ponte Alta do Norte";46;2010
"421340";"Ponte Serrada";184;2010
"421350";"Porto Belo";175;2010
"421360";"Porto União";473;2010
"421370";"Pouso Redondo";206;2010
"421380";"Praia Grande";96;2010
"421390";"Presidente Castello Branco";17;2010
"421400";"Presidente Getúlio";185;2010
"421410";"Presidente Nereu";23;2010
"421415";"Princesa";25;2010
"421420";"Quilombo";111;2010
"421430";"Rancho Queimado";31;2010
"421440";"Rio das Antas";51;2010
